Carimbo de data/hora,Idade:,Estado Civil:,Escolaridade: ,Sexo:,Etnia:,1. Em qual turno você prefere estudar?,"2. Quanto a luminosidade, você prefere:",3. Barulhos externos,4. Em grupo de quantas pessoas?,5. Tipo de aprendizagem que acredita aprender melhor:,6. Gosta de estudar com tempo de duração:,7. Sobre a organização do ambiente,8. Temperatura do ambiente,9. Faz anotações,10. Pesquisa o significado das palavras quando não são claras?,11. Pesquisa conceitos quando não tem certeza da definição?,12. Pesquisa sobre acentuações?
8/28/2023 12:49:31,24,Solteiro(a),Superior,Masculino,Pardo(a),Manhã,2,2,5 ou mais,Dando aula,Intercalado com pequenas pausas,4,Ao ar livre,4,5,5,5
8/28/2023 17:50:39,20,Solteiro(a),Superior,Masculino,Pardo(a),Tarde,3,3,5 ou mais,Aula presencial,Intercalado com pequenas pausas,4,Ao ar livre,3,4,5,2
8/28/2023 17:50:47,26,Solteiro(a),Superior,Masculino,Branco(a),Manhã,3,1,Sozinho(a),Dando aula,Intercalado com pequenas pausas,5,Frio,5,4,4,4
8/28/2023 17:51:12,20,Solteiro(a),Superior,Masculino,Branco(a),Manhã,2,1,5 ou mais,Lendo e escrevendo síntese,Curto,5,Frio,5,3,3,3
8/28/2023 17:54:00,17,Solteiro(a),Superior,Masculino,Branco(a),Manhã,2,2,2,Dando aula,Longo,5,Frio,3,3,5,2
8/28/2023 17:54:36,30,Solteiro(a),Superior,Masculino,Pardo(a),Noite,2,1,3,Aula presencial,Intercalado com grandes pausas,3,Frio,3,4,4,4
8/28/2023 17:54:55,26,Solteiro(a),Mestrado,Masculino,Branco(a),Tarde,3,1,2,Lendo e escrevendo síntese,Intercalado com pequenas pausas,5,Frio,5,5,5,1
8/28/2023 20:35:43,18,Solteiro(a),Médio,Masculino,Negro(a),Manhã,3,1,Sozinho(a),Aula presencial,Intercalado com pequenas pausas,5,Frio,3,4,3,1
8/28/2023 20:36:45,20,Solteiro(a),Superior,Masculino,Branco(a),Madrugada,2,1,Sozinho(a),Aula presencial,Intercalado com pequenas pausas,3,Frio,4,5,5,3
8/28/2023 20:41:50,20,Solteiro(a),Médio,Masculino,Branco(a),Noite,3,1,Sozinho(a),Dando aula,Intercalado com grandes pausas,4,Frio,4,3,3,2
8/28/2023 20:52:40,19,Solteiro(a),Médio,Masculino,Branco(a),Manhã,3,2,3,Aula presencial,Intercalado com pequenas pausas,1,Quente,1,4,4,5
8/28/2023 21:02:09,16,Solteiro(a),Médio,Feminino,Branco(a),Noite,3,2,Sozinho(a),Dando aula,Intercalado com pequenas pausas,4,Frio,4,3,5,3
8/28/2023 21:07:02,20,Solteiro(a),Médio,Masculino,Pardo(a),Noite,3,1,2,Aula presencial,Intercalado com pequenas pausas,1,Ao ar livre,5,4,5,1
8/28/2023 21:07:50,18,Solteiro(a),Superior,Masculino,Pardo(a),Qualquer turno,2,1,Sozinho(a),Gerando material,Curto,4,Frio,4,4,4,5
8/28/2023 21:14:41,28,Solteiro(a),Superior,Masculino,Branco(a),Noite,2,2,3,Aula presencial,Intercalado com pequenas pausas,5,Frio,3,5,2,4
8/28/2023 21:29:23,52,Casado(a),Superior,Masculino,Branco(a),Manhã,3,2,3,Aula presencial,Intercalado com pequenas pausas,3,Frio,3,4,4,3
8/28/2023 21:34:22,26,Solteiro(a),Superior,Masculino,Branco(a),Manhã,3,1,Sozinho(a),Dando aula,Intercalado com pequenas pausas,5,Frio,5,4,4,4
8/28/2023 21:42:23,36,Solteiro(a),Superior,Masculino,Pardo(a),Noite,4,1,2,Lendo e escrevendo síntese,Intercalado com pequenas pausas,5,Ao ar livre,3,5,5,5
8/28/2023 22:13:04,32,Casado(a),Pós-Graduação,Feminino,Branco(a),Manhã,5,1,3,Video aula sincrona,Intercalado com pequenas pausas,5,Ao ar livre,5,4,4,4
8/28/2023 22:28:50,30,Casado(a),Pós-Graduação,Feminino,Branco(a),Manhã,3,1,Sozinho(a),Aula presencial,Intercalado com grandes pausas,5,Frio,5,5,5,5
